WijkenEnBuurten,Codering_3,Bevolkingsdichtheid_34,Laag_aandeel_15-24,Aandeel_65+,niet-westers,aandeel_niet-westers,Aandeel_1pers_hh,Thema_bevolking,Perc_eenoudergezinnen,Aandeel65<110%sm
Ermelo - Noord,BU02330001,19850,8976897689768977,32838283828382835,245,8085808580858085,2.9880478087649404e+16,True,24.0,17.0
Ermelo - Oost,BU02330002,34470,894017094017094,28034188034188034,275,9401709401709402,2.9435483870967744e+16,True,74.0,73.0
Ermelo - Zuid,BU02330003,40690,8802122820318424,21455648218347235,645,978013646702047,3568904593639576.0,True,68.0,73.0
Ermelo - West,BU02330004,44150,8748964374482188,19138359569179787,645,10687655343827672,3.2369942196531796e+16,True,62.0,56.0
Veldwijk,BU02330005,3750,9846153846153847,4461538461538462,40,12307692307692308,3.5714285714285716e+16,True,,
Ermelo - Centrum,BU02330101,40430,8848920863309353,3345323741007194,215,77338129496402885,4564459930313589.0,True,39.0,57.0
Tonsel,BU02330201,2870,894308943089431,23577235772357724,40,6504065040650407,484375.0,True,58.0,
Veldzicht,BU02330202,4560,8244274809160305,13740458015267176,35,5343511450381679,3.928571428571429e+16,True,60.0,
Verspreide huizen Horst,BU02330301,3840,8842592592592592,20833333333333336,65,6018518518518518,3608247422680412.0,True,36.0,44.0
Verspreide huizen Zuiderzeeland,BU02330302,1690,8930817610062893,20125786163522015,45,5660377358490567,352112676056338.0,True,32.0,
s Heerenloo,BU02330303,10960,7869822485207101,21893491124260358,120,14201183431952662,2.9411764705882356e+16,True,,
Verspreide huizen Telgt,BU02330304,1540,8493975903614458,1746987951807229,25,30120481927710845,2.105263157894737e+16,True,35.0,
Verspreide huizen bosgebied,BU02330401,50,9047619047619048,21428571428571427,10,4761904761904762,2.6666666666666668e+16,True,,
Drie,BU02330402,510,1000,500,0,0,,True,,
Verspreide huizen Speuld,BU02330501,1770,8666666666666667,1888888888888889,10,22222222222222223,2571428571428571.0,True,30.0,
Verspreide huizen heidegebied,BU02330502,60,8888888888888889,2222222222222222,0,0,0.0,True,,
Verspreide huizen De Beek,BU02330503,350,800,150,10,100,1.4285714285714284e+16,True,,
Verspreide huizen Houtdorp,BU02330504,1020,8235294117647058,2352941176470588,0,0,3333333333333333.0,True,,
Verspreide huizen Staverden,BU02330505,80,1000,500,0,0,500.0,True,,
Verspreide huizen Leuvenum,BU02330506,160,800,26666666666666668,5,6666666666666667,3333333333333333.0,True,,
